# integrator: Langevin BAOAB
# timestep_fs: 1.0
# seed: 0
# n_atoms: 22
# dof: 63
# temperature_dof_convention: 3N - 3 (centre of mass pinned)
# calculator: MACE(model='MACE-OFF23_small', cueq=False, energy_reference='atoms', dtype='float32')
# dtype: float32
# energy_offset_eV: -13406.88400353325
# pbc: [False, False, False]
# neighborlist_capacity: 384
# device: gpu
# ensemble: NVT
# temperature_K: 300.0
# friction_per_fs: 0.01
# fix_com: True
# step	time_fs	T_K	E_pot_eV	E_kin_eV	E_tot_eV	dE_tot_eV
0	0.000	254.760	-95.18298958	0.69153595	-94.49145363	0.000e+00
500	500.000	255.321	-94.61397450	0.69305950	-93.92091500	5.705e-01
1000	1000.000	347.032	-94.58091830	0.94200325	-93.63891505	8.525e-01
1500	1500.000	230.704	-94.67685706	0.62623781	-94.05061925	4.408e-01
2000	2000.000	315.977	-94.64611649	0.85770655	-93.78840995	7.030e-01
2500	2500.000	231.949	-94.68301017	0.62961471	-94.05339546	4.381e-01
3000	3000.000	331.068	-94.67595656	0.89867061	-93.77728595	7.142e-01
3500	3500.000	183.825	-94.43042680	0.49898431	-93.93144250	5.600e-01
4000	4000.000	307.265	-94.55021845	0.83405721	-93.71616124	7.753e-01
4500	4500.000	322.538	-94.62249383	0.87551719	-93.74697664	7.445e-01
5000	5000.000	278.074	-94.33904692	0.75482047	-93.58422646	9.072e-01
5500	5500.000	229.984	-94.56935805	0.62428164	-93.94507641	5.464e-01
6000	6000.000	244.345	-94.52055782	0.66326416	-93.85729366	6.342e-01
6500	6500.000	278.347	-94.60388483	0.75556225	-93.84832258	6.431e-01
7000	7000.000	312.089	-94.53940983	0.84715253	-93.69225730	7.992e-01
7500	7500.000	392.629	-94.64166411	1.06577551	-93.57588860	9.156e-01
8000	8000.000	308.036	-94.63058397	0.83615059	-93.79443338	6.970e-01
8500	8500.000	288.454	-94.43262683	0.78299522	-93.64963161	8.418e-01
9000	9000.000	253.390	-94.52605280	0.68781626	-93.83823654	6.532e-01
9500	9500.000	208.005	-94.53760786	0.56462032	-93.97298754	5.185e-01
10000	10000.000	335.696	-94.44646298	0.91123301	-93.53522997	9.562e-01
10500	10500.000	254.247	-94.57476412	0.69014323	-93.88462089	6.068e-01
11000	11000.000	285.283	-94.46076424	0.77438819	-93.68637605	8.051e-01
11500	11500.000	356.491	-94.41073618	0.96768081	-93.44305537	1.048e+00
12000	12000.000	274.043	-94.45624483	0.74387926	-93.71236557	7.791e-01
12500	12500.000	476.753	-94.50903151	1.29412770	-93.21490380	1.277e+00
13000	13000.000	274.061	-94.76096515	0.74392712	-94.01703803	4.744e-01
13500	13500.000	221.890	-94.56846434	0.60231066	-93.96615369	5.253e-01
14000	14000.000	273.400	-94.73165370	0.74213314	-93.98952056	5.019e-01
14500	14500.000	237.753	-94.62952991	0.64537209	-93.98415782	5.073e-01
15000	15000.000	255.929	-94.48806560	0.69470906	-93.79335654	6.981e-01
15500	15500.000	297.299	-94.44271981	0.80700684	-93.63571297	8.557e-01
16000	16000.000	331.674	-94.70339742	0.90031540	-93.80308202	6.884e-01
16500	16500.000	278.116	-94.67506745	0.75493550	-93.92013195	5.713e-01
17000	17000.000	301.502	-94.28609228	0.81841457	-93.46767771	1.024e+00
17500	17500.000	216.202	-94.54456840	0.58687228	-93.95769612	5.338e-01
18000	18000.000	208.600	-94.84096592	0.56623560	-94.27473031	2.167e-01
18500	18500.000	344.323	-94.72319371	0.93465114	-93.78854257	7.029e-01
19000	19000.000	261.572	-94.58925024	0.71002519	-93.87922505	6.122e-01
19500	19500.000	367.077	-94.47207826	0.99641472	-93.47566354	1.016e+00
20000	20000.000	410.855	-94.50251000	1.11524832	-93.38726168	1.104e+00
20500	20500.000	244.342	-94.39026833	0.66325653	-93.72701180	7.644e-01
21000	21000.000	364.459	-94.41142237	0.98930883	-93.42211354	1.069e+00
21500	21500.000	231.636	-94.30263638	0.62876618	-93.67387020	8.176e-01
22000	22000.000	337.272	-94.49761440	0.91551107	-93.58210333	9.094e-01
22500	22500.000	368.329	-94.59224925	0.99981493	-93.59243432	8.990e-01
23000	23000.000	364.653	-94.54688562	0.98983622	-93.55704941	9.344e-01
23500	23500.000	415.957	-94.40042019	1.12909794	-93.27132225	1.220e+00
24000	24000.000	291.651	-94.51430474	0.79167503	-93.72262971	7.688e-01
24500	24500.000	288.029	-94.66654925	0.78184396	-93.88470529	6.067e-01
25000	25000.000	278.238	-94.71491199	0.75526476	-93.95964723	5.318e-01
25500	25500.000	310.714	-94.69759848	0.84342140	-93.85417708	6.373e-01
26000	26000.000	321.780	-94.26466272	0.87345731	-93.39120541	1.100e+00
26500	26500.000	302.699	-94.46110322	0.82166427	-93.63943895	8.520e-01
27000	27000.000	248.459	-94.83793388	0.67443132	-94.16350255	3.280e-01
27500	27500.000	294.748	-94.74787142	0.80008066	-93.94779077	5.437e-01
28000	28000.000	241.512	-94.59842303	0.65557504	-93.94284799	5.486e-01
28500	28500.000	346.323	-94.56512626	0.94007856	-93.62504770	8.664e-01
29000	29000.000	195.194	-94.54368185	0.52984720	-94.01383464	4.776e-01
29500	29500.000	219.937	-94.55908588	0.59701097	-93.96207491	5.294e-01
30000	30000.000	239.994	-94.68800845	0.65145487	-94.03655358	4.549e-01
30500	30500.000	285.720	-94.24425553	0.77557474	-93.46868079	1.023e+00
31000	31000.000	264.951	-94.68548487	0.71919978	-93.96628509	5.252e-01
31500	31500.000	274.029	-94.53520716	0.74383956	-93.79136760	7.001e-01
32000	32000.000	369.440	-94.24041320	1.00283003	-93.23758317	1.254e+00
32500	32500.000	305.478	-94.70957351	0.82920849	-93.88036501	6.111e-01
33000	33000.000	307.388	-94.56231865	0.83439255	-93.72792610	7.635e-01
